"","IDBASE","TIPOC","tratamiento","trat_nivel","vali_febrero","vali","vali_total","vali_semana","vali_fin","recargas","recar_total","recar_semana","recar_fin","recar_fin","valor_recargas_total","valor_recarga_promedio","sald_promedio_antes","sald_promedio_despues","num_gastos","viajes_sitp","viajes_carro","semana_tratado","GENERO","diff","diff2","P22C","P22M","P3","automovil","moto","no_tiene_medio_trans","bici_pati","trabaja","estudia","casado","strata"
"53",528,"Control",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1000,1,84,NA,15,25,5,0,0,1,0,1,0,0,3
"54",542,"Tratamiento 1",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,21,1,40,65,5,10,4,0,0,0,1,1,0,1,2
"55",544,"Control",0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1000,0,105,NA,3,10,4,0,0,1,0,1,0,1,2
"56",547,"Control",0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1000,1,15,60,NA,NA,4,1,0,0,0,0,0,0,2
"57",554,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1000,1,75,NA,1,1,3,0,0,0,1,1,0,1,3
"58",567,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1000,1,120,NA,3,3,2,1,0,0,0,1,0,0,2
"59",577,"Tratamiento 1",1,2,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,90,30,4,3,3,0,0,0,1,1,1,0,2
"60",587,"Tratamiento 2",1,1,11.25,10,10,10,0,1,1,1,0,0,50000,50000,0,50000,NA,NA,NA,21,1,120,NA,2,8,4,0,0,0,1,1,0,1,2
"61",595,"Control",0,0,6.75,14,14,14,0,5,5,5,0,0,27000,5400,2660,8060,NA,NA,NA,1000,1,10,120,NA,NA,4,0,0,1,0,1,0,0,2
"62",601,"Control",0,0,15.5,13,13,10,3,3,3,3,0,0,15400,5133.33333333333,566.666666666667,5700,1,0,0,1000,0,110,NA,6,10,2,0,0,1,0,1,0,0,2
"63",606,"Tratamiento 2",1,1,8,8,8,7,1,1,1,1,0,0,2300,2300,13200,15500,1,1,0,21,1,30,NA,NA,NA,5,0,0,1,0,1,0,0,2
"64",608,"Tratamiento 2",1,1,13.75,18,18,16,2,1,1,1,0,0,20000,20000,0,20000,3,2,0,20,1,45,NA,1,5,3,0,0,0,1,1,0,1,3
"65",611,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1000,1,115,NA,3,5,4,0,0,1,0,1,0,0,1
"66",613,"Tratamiento 1",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,0,80,NA,NA,NA,3,0,1,0,0,1,0,0,NA
"67",617,"Control",0,0,0,2,2,2,0,1,1,0,1,1,18000,18000,2200,20200,NA,NA,NA,1000,1,NA,120,NA,NA,4,0,1,0,1,0,0,1,3
"68",625,"Tratamiento 1",1,2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,26,0,30,NA,NA,NA,4,0,0,0,1,1,0,1,2
"69",630,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1000,1,70,NA,NA,NA,4,0,0,0,1,1,0,0,2
"70",633,"Tratamiento 2",1,1,6.25,2,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1,90,40,10,15,5,0,0,1,0,0,0,0,3
"71",636,"Tratamiento 1",1,2,4.75,12,12,12,0,1,1,1,0,0,10000,10000,4800,14800,2,2,0,20,0,NA,60,NA,NA,1,0,0,0,1,1,0,0,3
"72",642,"Control",0,0,17.5,7,7,7,0,1,1,1,0,0,20000,20000,0,20000,1,2,0,1000,0,120,NA,2,2,5,0,0,1,0,1,0,0,1
"73",644,"Tratamiento 1",1,2,0,3,3,0,3,1,1,1,0,0,28000,28000,0,28000,2,1,0,20,1,120,NA,2,5,5,0,0,1,0,1,0,1,3
"74",662,"Tratamiento 2",1,1,4.5,12,12,10,2,1,1,1,0,0,60000,60000,3400,63400,1,2,0,20,1,120,110,3,3,7,0,0,1,0,1,0,0,2
"75",668,"Control",0,0,6.5,2,2,2,0,1,1,1,0,0,5000,5000,1900,6900,4,0,0,1000,1,75,NA,2,3,4,1,0,0,0,1,1,0,2
"76",671,"Tratamiento 1",1,2,5.5,5,5,5,0,2,2,2,0,0,58000,29000,13200,42200,1,2,0,21,1,120,NA,2,3,5,0,0,1,0,1,0,0,2
"77",675,"Tratamiento 2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,20,0,70,NA,10,5,6,0,0,1,0,1,0,1,1
"78",694,"Tratamiento 1",1,2,6.75,10,10,8,2,1,1,1,0,0,60000,60000,10400,70400,NA,NA,NA,20,0,110,NA,3,5,4,0,0,1,0,1,0,0,2
"79",695,"Tratamiento 2",1,1,30.5,32,32,25,7,5,5,4,1,1,35000,7000,980,7980,1,2,0,20,1,150,NA,4,5,5,0,0,1,0,1,0,1,1
"80",706,"Control",0,0,1.5,20,20,15,5,2,2,1,1,1,20000,10000,4250,14250,3,0,1,1000,1,50,NA,NA,NA,4,0,0,1,0,1,0,0,1
"81",720,"Tratamiento 2",1,1,22.75,34,34,30,4,3,3,2,1,1,36150,12050,1583.33333333333,13633.3333333333,3,2,0,20,0,120,NA,2,3,5,0,0,0,1,1,0,0,4
"82",722,"Tratamiento 1",1,2,14,19,19,14,5,2,2,1,1,1,30000,15000,3250,18250,1,2,0,20,0,120,100,1,2,3,0,0,1,0,1,0,0,2
"83",724,"Control",0,0,10.75,7,7,3,4,1,1,1,0,0,5000,5000,8900,13900,NA,NA,NA,1000,1,92,NA,2,2,1,0,0,1,0,1,0,0,2
"84",731,"Control",0,0,10.25,11,11,11,0,1,1,1,0,0,50000,50000,0,50000,1,1,0,1000,1,75,NA,2,5,3,0,1,0,1,1,0,0,2
"85",738,"Control",0,0,0.25,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1000,0,NA,120,NA,NA,5,1,0,0,0,1,0,1,2
"86",739,"Tratamiento 1",1,2,13.5,17,17,15,2,1,1,1,0,0,55000,55000,2200,57200,3,1,0,20,1,65,NA,1,1,3,0,1,0,0,1,0,0,2
"87",740,"Tratamiento 2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,21,1,120,NA,1,5,2,1,1,0,0,1,0,0,3
"88",750,"Control",0,0,7.75,9,9,7,2,3,3,2,1,1,19000,6333.33333333333,1366.66666666667,7700,NA,NA,NA,1000,1,NA,180,NA,NA,6,0,0,1,0,0,0,0,2
"89",751,"Control",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,1,180,720,5,10,4,0,0,1,0,1,0,1,2
"90",775,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1000,1,150,NA,7,8,4,0,1,0,0,1,0,0,3
"91",781,"Control",0,0,3,4,4,4,0,1,1,1,0,0,10000,10000,8000,18000,2,0,0,1000,1,NA,90,NA,NA,3,0,0,1,0,0,0,1,2
"92",790,"Tratamiento 1",1,2,11.25,16,16,13,3,3,3,3,0,0,12500,4166.66666666667,1833.33333333333,6000,3,1,0,21,1,144,NA,6,8,4,0,0,0,1,1,0,0,1
"93",811,"Control",0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1000,1,45,NA,1,1,4,0,0,1,0,1,0,0,3
"94",813,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1000,1,15,NA,1,1,3,0,0,1,0,1,0,0,2
"95",818,"Control",0,0,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1000,1,75,60,6,6,3,0,0,0,1,0,0,1,2
"96",842,"Tratamiento 2",1,1,22.75,24,24,20,4,1,1,1,0,0,50000,50000,8600,58600,1,2,0,20,1,85,NA,3,10,3,0,0,0,1,1,0,0,1
"97",858,"Control",0,0,23.5,14,14,14,0,1,1,1,0,0,20000,20000,700,20700,2,3,0,1000,1,90,NA,2.5,10,4,0,0,1,0,1,0,1,2
"98",859,"Tratamiento 2",1,1,9.25,9,9,9,0,1,1,1,0,0,10000,10000,20900,30900,1,1,0,21,1,60,NA,7,10,5,1,0,0,0,1,0,1,3
"99",861,"Control",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,0,160,NA,1,1,7,1,0,0,1,1,1,0,2
"100",863,"Control",0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1000,1,60,60,NA,NA,4,1,0,0,0,0,0,0,3
"101",866,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1000,0,90,NA,10,15,3,1,0,0,0,1,0,0,2
"102",891,"Control",0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1000,0,30,NA,3,5,3,0,0,1,0,1,0,0,2
"103",893,"Tratamiento 1",1,2,0.5,2,2,2,0,1,1,1,0,0,28000,28000,0,28000,1,2,0,21,1,60,NA,4,4,4,0,0,1,0,1,0,1,3
"104",913,"Tratamiento 1",1,2,6,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,1,20,1,120,NA,3,3,4,1,0,0,0,1,0,0,3
"105",914,"Tratamiento 1",1,2,16.5,11,11,11,0,0,0,0,0,0,0,0,0,0,1,2,0,21,1,80,NA,1,2,2,0,0,0,1,1,0,0,2
"106",919,"Control",0,0,15.5,5,5,3,2,3,3,2,1,1,14000,4666.66666666667,3050,7716.66666666667,2,1,0,1000,1,NA,100,NA,NA,1,0,0,1,0,1,0,0,2
"107",930,"Tratamiento 1",1,2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,21,0,100,NA,13,15,7,1,1,0,1,1,0,0,2
"108",934,"Tratamiento 2",1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,1,2,0,26,1,51,NA,3,10,2,0,0,1,0,1,0,0,2
"109",939,"Tratamiento 1",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,21,0,120,120,2,10,7,0,1,0,0,1,0,0,1
"110",966,"Control",0,0,19.25,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,1,NA,60,NA,NA,4,0,0,1,0,1,0,0,2
"111",980,"Tratamiento 2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,25,0,90,NA,1,2,5,0,0,1,0,1,0,0,3
"112",981,"Control",0,0,8.5,7,7,7,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,0,55,NA,1,1,4,1,0,0,0,1,0,1,3
"113",982,"Tratamiento 2",1,1,2.25,5,5,5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,21,1,60,NA,3,3,3,0,0,1,0,1,0,0,2
"114",997,"Control",0,0,6,2,2,2,0,1,1,1,0,0,10000,10000,12300,22300,NA,NA,NA,1000,1,50,NA,4,7,4,0,0,1,0,1,0,0,2
"115",999,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,1,NA,60,NA,NA,4,1,0,0,1,1,0,1,2
"116",1038,"Control",0,0,29.75,29,29,22,7,1,1,1,0,0,80000,80000,5240,85240,1,2,0,1000,1,90,NA,3,5,3,0,0,0,1,1,1,0,1
"117",1054,"Control",0,0,5.25,6,6,6,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,1,135,NA,4,10,3,0,0,0,1,1,0,0,1
"118",1073,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1000,1,NA,87,NA,NA,4,0,0,1,0,0,0,0,3
"119",1089,"Tratamiento 1",1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,21,1,30,NA,6,10,3,0,1,0,1,0,0,0,2
"120",1092,"Tratamiento 2",1,1,17.5,22,22,22,0,2,2,2,0,0,17000,8500,0,8500,NA,NA,NA,1000,1,40,NA,10,10,4,0,0,1,0,1,0,0,2
"121",1101,"Tratamiento 2",1,1,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,24,0,60,NA,1,5,4,0,0,1,0,1,0,0,2
"122",1136,"Tratamiento 1",1,2,10.75,14,14,9,5,1,1,1,0,0,30000,30000,0,30000,1,0,0,21,1,60,NA,4,7,7,0,0,1,0,1,0,0,2
"123",1140,"Tratamiento 2",1,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,20,NA,NA,NA,5,0,0,1,0,1,0,0,2
"124",1142,"Tratamiento 1",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,20,0,105,NA,1,5,4,0,0,1,0,1,0,0,2
"125",1148,"Tratamiento 2",1,1,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,1,NA,50,NA,NA,3,1,0,0,0,1,0,0,2
"126",1153,"Tratamiento 1",1,2,8.25,15,15,11,4,3,3,2,1,1,40000,13333.3333333333,0,13333.3333333333,NA,NA,NA,20,1,50,NA,1,3,2,0,0,1,0,1,0,0,2
"127",1154,"Tratamiento 2",1,1,14.5,16,16,13,3,5,5,4,1,1,40000,8000,1500,9500,1,1,0,20,0,100,100,5,7,4,0,0,1,0,1,0,1,2
"128",1164,"Tratamiento 1",1,2,10,9,9,9,0,2,2,2,0,0,58000,29000,19550,48550,1,1,0,20,1,60,NA,4,10,3,0,0,1,0,1,0,0,2
"129",1169,"Control",0,0,3.25,4,4,0,4,1,1,0,1,1,10000,10000,0,10000,NA,NA,NA,1000,0,90,NA,8,15,6,0,0,1,0,1,0,0,2
"130",1170,"Tratamiento 1",1,2,7.75,5,5,4,1,2,2,2,0,0,38000,19000,2250,21250,1,1,0,26,0,NA,90,NA,NA,5,0,0,1,0,1,0,1,2
"131",1173,"Control",0,0,0,9,9,1,8,1,1,0,1,1,40000,40000,0,40000,1,2,0,1000,1,60,NA,7,15,1,0,0,1,0,1,0,0,2
"132",1178,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1000,1,90,NA,1,5,2,0,0,0,1,1,0,0,2
